127.0.0.1 - - [06/Dec/2018:23:50:12 -0500] "GET / HTTP/1.1" 200 11286
0:0:0:0:0:0:0:1 - - [06/Dec/2018:23:50:19 -0500] "GET / HTTP/1.1" 200 11286
0:0:0:0:0:0:0:1 - - [06/Dec/2018:23:50:19 -0500] "GET /tomcat.css HTTP/1.1" 200 5581
0:0:0:0:0:0:0:1 - - [06/Dec/2018:23:50:19 -0500] "GET /tomcat.png HTTP/1.1" 200 5103
0:0:0:0:0:0:0:1 - - [06/Dec/2018:23:50:19 -0500] "GET /bg-middle.png HTTP/1.1" 200 1918
0:0:0:0:0:0:0:1 - - [06/Dec/2018:23:50:19 -0500] "GET /bg-upper.png HTTP/1.1" 200 3103
0:0:0:0:0:0:0:1 - - [06/Dec/2018:23:50:19 -0500] "GET /bg-nav.png HTTP/1.1" 200 1401
0:0:0:0:0:0:0:1 - - [06/Dec/2018:23:50:19 -0500] "GET /bg-button.png HTTP/1.1" 200 713
0:0:0:0:0:0:0:1 - - [06/Dec/2018:23:50:19 -0500] "GET /asf-logo-wide.svg HTTP/1.1" 200 27235
0:0:0:0:0:0:0:1 - - [06/Dec/2018:23:50:29 -0500] "GET /Jupiter/ HTTP/1.1" 200 2772
0:0:0:0:0:0:0:1 - - [06/Dec/2018:23:50:29 -0500] "GET /Jupiter/styles/main.css HTTP/1.1" 200 3295
0:0:0:0:0:0:0:1 - - [06/Dec/2018:23:50:29 -0500] "GET /Jupiter/scripts/main.js HTTP/1.1" 200 18970
0:0:0:0:0:0:0:1 - - [06/Dec/2018:23:50:32 -0500] "GET /Jupiter/ HTTP/1.1" 200 2772
0:0:0:0:0:0:0:1 - - [06/Dec/2018:23:50:32 -0500] "GET /Jupiter/styles/main.css HTTP/1.1" 200 3295
0:0:0:0:0:0:0:1 - - [06/Dec/2018:23:50:32 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [06/Dec/2018:23:51:37 -0500] "GET /Jupiter/styles/main.css HTTP/1.1" 200 3295
